Shot number,Date,Classification,Club type,Club name,Carry,Total,Offline,Offline carry,Shot angle,Peak height,Hang time,Club speed,Ball speed,Smash factor,Push/pull,Launch angle,Landing angle,Backspin,Sidespin,Curve,Curve factor,Angle of attack,Face to target,Club path,Face to path,Face impact X,Face impact Y,Strokes gained,Club score,Target score,Launch score,Direction score,Shape score,Total score
,,,,,[yds],[yds],[yds],[yds],[°],[yds],[seconds],[mph],[mph],,[°],[°],[°],[rpm],[rpm],[yds],,[°],[°],[°],[°],[mm],[mm],,,,,,,
1,2026-08-18T22:30:24.000Z,Push,Sand Wedge,Default,97.8,133.4,11.1,7.0,6.6,5.1,2.9,77.9,95.1,1.2,1.62 R,7.5,15.5,4360,938 R,4.3,22.0,-5.2,1.98° open,2.24° out-to-in,4.22° open,,,-0.7,5.4,9.2,0.1,3.8,3,21.5
2,2026-08-18T22:30:24.000Z,Huge Push Slice,Sand Wedge,Default,54.2,55.7,11.1,10.7,14.9,17.5,3.7,67.5,54.9,0.8,7.77 R,48.4,53.7,3117,1250 R,3.3,30.0,-3.3,9.01° open,0.41° out-to-in,9.42° open,,,-0.4,5.3,0,0,0,0,5.3
3,2026-08-18T22:30:24.000Z,Push,Sand Wedge,Default,52.9,54.5,8.0,7.7,10.1,17.0,3.7,64.5,53.7,0.8,6.71 R,47.3,53.6,3964,1250 R,1.5,14.0,-3.5,7.88° open,1.44° out-to-in,9.32° open,,,-0.4,3.8,0,0,0,3,6.9
4,2026-08-18T22:30:24.000Z,,Sand Wedge,Default,0.0,21.2,,3.5,NaN,0.0,0.2,,89.0,,90 R,0.2,0.0,2931,,3.5,,,,,,,,,0,0,0,0,0,0
5,2026-08-18T22:30:24.000Z,Push,Sand Wedge,Default,83.4,86.5,5.7,5.5,4.4,18.7,4.1,64.3,69.7,1.1,3.1 R,33.5,45.3,4894,0,1.0,6.0,-2.8,2.68° open,1.73° in-to-out,0.95° open,,,0.8,6.7,7.2,3.1,3.8,3,23.8
6,2026-08-18T22:30:24.000Z,Push,Sand Wedge,Default,66.8,69.3,4.5,4.3,5.0,17.1,3.9,62.3,61.0,1.0,2.41 R,38.4,47.7,5883,625 R,1.5,11.0,-3.3,3.26° open,1.44° out-to-in,4.7° open,,,-0.1,4.3,2.6,1.5,3.8,3,15.1
7,2026-08-18T22:30:24.000Z,Push,Sand Wedge,Default,65.3,68.2,3.8,3.6,4.1,16.4,3.7,64.0,60.4,0.9,2.29 R,40.5,48.1,3133,0,1.0,8.0,-3.9,1.87° open,0.9° in-to-out,0.97° open,,,-0.1,6.7,2.1,0,6.9,3,18.7
8,2026-08-18T22:30:24.000Z,Slight Push,Sand Wedge,Default,63.9,65.6,2.9,2.8,2.8,18.9,4.0,64.1,60.3,0.9,2.29 R,42.3,51.8,5349,0,0.3,2.0,-3.7,2.03° open,0.43° in-to-out,1.6° open,,,-0.2,6.7,1.7,0.3,10,6,24.7
9,2026-08-18T22:30:24.000Z,Push,Sand Wedge,Default,74.3,75.1,5.2,5.1,5.0,23.7,4.5,69.2,66.3,1.0,2.79 R,43.5,54.0,4522,625 R,1.5,10.0,-3.0,3.96° open,1.99° out-to-in,5.95° open,,,0.0,6.3,4.4,0.1,0.6,3,14.4
